UDID,Headline_Alt,What_are_the_benefits,What_are_the_risks,What_might_the_cost_be,How_much_time_might_be_involved,Who_can_use_this,Whos_involved,How_much_is_this_used,What_are_the_possible_outcomes
D1002,Notice of Objection,"* Provides a way to intercept infringing imports before they enter the Australian market.

* Acts as a deterrent for anyone who tries to import goods that infringe on your trade marks.

* When caught, the vast majority of infringing importers abandon their goods.

* No financial cost to lodge the Notice itself.","* You must agree to pay for costs incurred by the ABF which might result from the seizure of potentially infringing goods. Generally, costs are minimal.

* Failure to identify importers within your own supply chain may result in the seizure of your own imported goods.

* This action does not permanently resolve the issue of your goods being counterfeited.

* It doesn't take much for matters to escalate to court, potentially introducing higher risks and costs.

* Escalation of the dispute could require you to defend/reaffirm your claim to your IP rights.",,,"* Owners of registered trade marks which claim goods (services are not eligible for the scheme).

* Authorised users or importers of a trade mark, with the registered trade mark owner's permission.

* Copyright owners of copyright material.",,More than 500 trade mark notices and 41 copyright notices are currently in force.,"* The goods/copies are not detected entering Australia, or goods are detected but cannot be verified as potentially infringing; you are not notified.

* The goods/copies are seized entering Australia. You and the importer are informed.
The importer may then:
* choose to abandon the goods/copies, which are then disposed of by the ABF, or

* file a Claim for Release of Seized goods/copies form.
If they submit this form, one of two things can happen:
* youdo notbegin legal proceedings within 10 days and the goods are released to the importer, or

* you begin legal proceedings within 10 days.
The court's decision will likely result in either:
* the ABF disposing of the goods, or

* the goods being released back to the importer."
B1005,Apply for a trade mark,"Registering a trade mark offers a range of benefits which can simplify the process of defending your IP rights. It provides:
* Formal registered rights that may support your defence against alleged infringement (on the specific types of goods and services claimed in the application).

* Robust and universally recognised registration (within Australia).

* Clear evidence of ownership date to support your claims.

* Strong negotiating position for future discussions to resolve the dispute.","* Applications to register a trade mark are generally public (an exception is the early stages of TM Headstart). Your competitors might become aware you are trying to register your trade mark. They may take actions like trying to register their own similar trade mark, or oppose your application.

* Examiner objections may incur additional fees or require amendments which may compromise your branding in relation to the scope of goods and services the trade mark can claim or (in case of TM Headstart) its visual identity.

* You might discover that there is a problem with your trade mark, or that someone else has already registered a similar trade mark. This could mean you need to reconsider whether your trade mark is right for you.

* An Australian trade mark registration does not cover you in overseas markets.

* Registration does not apply retroactively to past use, so it may not resolve allegations of infringement before you applied.",,,,,"There are over 800,000 registered trade marks on the 

Australia Trade MarkRegister.",
D1029,Arbitration ,"* The potential outcome(s) of arbitration are highly enforceable, as Australia is a signatory to United Nations Convention on the Recognition and Enforcement of Foreign Arbitral Awards ('the New York Convention'). Australia has implemented the New York Convention throughInternational Arbitration Act 1974(Cth) and through uniform State and Territory statutes governing domestic arbitration.

* Arbitration can be conducted across different jurisdictions and arbitral awards are often comparatively easier to enforce in foreign jurisdictions under the New York Convention, which is an advantage over court proceedings for cross-border disputes.

* Parties can choose their arbitrator/s and have some flexibility and control over shaping the process (for example, through scheduling, rules of evidence and procedures).

* Parties can narrow the scope of a dispute to the issues that matter to both sides.

* Parties can also choose arbitrators with sector-specific expertise in relation to the subject matter of the IP dispute, which may be preferable when the dispute concerns highly technical issues.

* The details and outcome of arbitration can be kept confidential, subject to the parties' agreement, allowing parties to discuss commercially sensitive topics freely.

* Arbitration may offer a faster and more cost-effective alternative to court proceedings.","* Arbitral awards are generally final with limited grounds for appeal, which can be a risk if the decision is unfavourable.

* In some cases, arbitration can become as expensive as court proceedings, particularly if complex IP issues require specialised arbitrators.

* The outcome of arbitration can be unpredictable as arbitration does not necessarily follow the rules of procedure and evidence applicable in court proceedings.

* Arbitral awards do not automatically set alegal precedent; the ruling of the arbitrator/s will apply to the parties to the dispute only.",,,"Anybody who is a party to a dispute.
Who's involved?
* Parties to the disputes.

* Arbitrator(s), whose role is to hear both parties and make a ruling.

* (Optional) Legal representation for one or more of the participants.

* (Optional) Experts giving evidence for the arbitrator to consider.",,"IP Australia does not have oversight over arbitration but it is reported that there were 27 international arbitration cases involving Australian disputants in 2023, though not all of these relate to IP disputes.","There are a wide range of possible outcomes, including but not limited to:
* If parties to a dispute agree to resolve their dispute via arbitration, the arbitrator will make a ruling through an arbitral award at the conclusion of the process.

* Parties might reach a negotiated settlement prior to the arbitrator making an award and withdraw from the process.

* In some rare cases, the arbitral award can be subject to further court proceedings due to factors such as lack of validity in the arbitration agreement or the dispute concerning non-arbitrable subject matter."
D1030,Interim court injuction order,"* Rapid cessation of infringement. By halting any infringement immediately, you prevent further damage to your IP, such as erosion of market share or brand reputation.

* Increased leverage in negotiations. The court's willingness to grant an urgent injunction sends a powerful signal to the defendant, which may affect future negotiations.

* Preservation of evidence. An urgent injunction often comes with additional orders that can include the preservation of documents, files or infringing stock.

* Enforceability. There are existing mechanisms in place to ensure people comply with court orders.","* Potential to pay damages. If it later turns out the injunction was unjustified, the applicant may need to compensate the defendant.

* Evidence threshold. While the threshold for an urgent injunction is lower than for a final decision, you still need strong evidence outlining both the infringement and the urgency of the matter.

* Escalation. Seeking an injunction is a serious escalation of a conflict and may make it difficult or use other enforcement actions in future. Additionally, filing an interim injunction requires you to take further actions in court.",,,"Interim injunctions are available for many matters. For IP infringement actions, you'll usually need to clearly own an IP right.",,"In 2024 the Federal Court heard 5 applications for interlocutory injunctions in IP matters, only 2 were granted.","* If the interim injunction is granted, the defending party must cease all activity suspected of infringing.

* This can be extended throughout the trial as an 'interlocutory injunction'. If the subsequent lawsuit is ruled in your favour, the defendant might then face a final, permanent injunction.

* If the subsequent lawsuit is ruled in favour of the defendant, you may be required to compensate the defendant for lost revenue due to the interim injunction. Additionally, you may be liable for subsequent legal costs, and the defendant is free to continue their previous activities.

* If the interim injunction is not granted, the defendant can continue their activities.

* If you continue taking court action for infringement/with the subsequent lawsuit, an injunction or damages may be granted at a later stage."
C1006,Educate your customers ,"* Helps customers choose your product over confusing or inferior copies.

* Supports your brand positioning and long-term customer loyalty.

* Makes suspected infringement easier to detect and explain.

* Can reduce the incentive for others to copy your product if consumers avoid fakes.

* May already align with your existing marketing and advertising spend.

* Non-confrontational way to respond when you suspect copying.

* Can diversify your business' sources of value outside of reliance on registered IP alone.","* Careless wording may be seen as an attack on a competitor.

* Poorly designed campaigns might confuse or alienate customers.

* May have limited impact if not paired with broader brand strategy.",,,"* This approach is most applicable for business that offer products or services to the public.

* Particularly worth considering for businesses that face pervasive copycat or counterfeit issues.",,"Most businesses try to educate customers about their brand through advertising, customer outreach, blogs, social media content and more. Helping customers recognise and value registered IP can be one aim of this education but is rarely the main focus.","There are few easily-measurable outcomes from customer education. These may include:
* Customers become better at identifying and choosing your genuine products.

* Reduced sales of counterfeit or lookalike products.

* For trade marks particularly, stronger recognition in the market may strengthen future enforcement efforts."
101-7,Infringement 101,,,,,,,,
B1006,Opposition process,"* Defending your application from opposition prevents your application from lapsing automatically and gives you opportunities to present your argument and evidence as to why the application meets the requirements for registration.

* Trade mark opposition and hearing processes are less formal and generally quicker than court proceedings in reaching an outcome.

* The process allows parties to request a cooling-off period or temporary suspension of the process to engage in negotiations and settlement, should they wish to resolve the dispute that way.

* You can withdraw from the opposition process at any time before the hearing officer has made a decision. This allows parties to start and continue negotiation throughout the opposition process and agree to withdraw from the process if a settlement is reached.

* Hearing officers have a high level of expertise, experience and authority in the field of trade mark law.

* The unsuccessful party may be required to pay the costs incurred by the other party during the opposition process. This does not, however, extend to commercial losses or damages.","* If your defence is unsuccessful or if you choose not to defend, your trade mark might fail to proceed to registration or might need to be amended in order to be registrable.

* You might be required to pay the other party's costs.

* Due to the public nature of this process there is a risk of public scrutiny, negative publicity or reputational damage.

* If you decide to defend, you are choosing to engage with an administrative process with various stages of paperwork and requirements, each with deadlines and consequences for failing to meet the deadline. Failing to meet specific timeframes and submit documents and evidence in acceptable formats can jeopardise your defence.

* Even if you are successful, the opponent can appeal the decision and take the matter to court. This will occur additional expenses.",,,A trade mark applicant whose application has been opposed.,,"Between 1% - 3% of marks whose acceptance is advertised are opposed. This currently equates to around 2,000 oppositions to registration per year.","* Your trade mark achieving registration as applied for if your defence is upheld, orThe opposition being upheld, and your trade mark fails to achieve registration, orIt is also possible that the opposition was only raised in relation to part of the goods and services claimed under the trade mark, or the hearing officer considers that your defence or the other party's opposition is only partially established. In this case, your trade mark may still achieve registration for part of the goods and services you have specified in your application. The opponent withdraws or abandons the opposition, including if you reach a settlement or the matter resolves commercially before a final decision is made.

* You withdraw your trade mark application.

* If you choose not to defend your application against the opposition, your application will lapse."
E1002,Protecting your business,,,,,,,,
Dxxxx,,"* Cost-effective.

* Often quick to action and obtain outcome.

* Simple to prepare and initiate compared to other enforcement options.

* Outcome-focused, as it targets infringing products/content directly and prevents customers making purchases/accessing the infringing content.

* Some platforms are not limited by the country the infringer is located in, due to these platforms having an international reach - while others only action takedown requests within jurisdictions in which the rights apply.

* You may not need to identify or track down the infringer yourself.

* Being able to reduce infringement and prevent sales being diverted by addressing infringement on a major sales channel.","* Due to the one-off nature of this process there is a risk that the counterfeiters/infringers can return in the future. You will usually need to continuously monitor for reoccurrence.

* Online platforms can only take down infringing products or content from their platforms, and do not have power to stop the infringing behaviour itself.

* The outcome of the action can be somewhat unpredictable, as platforms will have different set of rules and procedures in dealing with complaints.",,,"Some mechanisms offered by platforms may require you to be a seller or user with a valid account. However, access to specific services and complaint mechanisms can vary in accordance with each platform's terms and conditions.",,"IP-related takedown notices submitted to platforms is likely in the 

millions annually.","The outcomes of your complaints with online platforms can vary in accordance with policy, service offerings, and the terms and conditions of each platform. Some possible outcomes include:
* Infringing products and content being removed from the platform.

* Being required to provide further information, documentation or evidence.

* Refusal to take an action, whether it is due to lack of evidence or their assessment that infringing behaviour did not take place."
101-10,Infringement 101,,,,,,,,
E1015,IP attorney or lawyer,,,,,,,,
E1018,IP Australia process,,,,,,,,
D1005,Court - Trade mark,"* If you succeed, a court can award damages or compensation for losses and costs (including, in some cases, an account of profits made by an infringer through their infringement).

* Court decisions are binding and enforceable.

* The other party cannot simply ignore your legal claim without consequences.

* You can often resolve several related matters in one case.

* Court can take into consideration a wide range of legal factors which may fall outside the scope of other decision-making bodies such as IP Australia's Opposition and Hearing processes.

* Court proceedings allow cross-examination of evidence and expert witnesses, which could be helpful for prosecuting your argument if you have a highly technical case.

* The gravity, expense, publicity and protracted nature of court proceedings can encourage the other party to negotiate or engage in other forms of dispute resolution to settle legal claims and avoid the court proceedings continuing.

* For infringement claims, a court can, in appropriate situations, make orders to prevent the other party from continuing to infringe your IP rights.","* The outcome can be unpredictable.

* While a court can determine matters of law, it may not be in the best interests of your business. Proving you are in the right, legally, may not be the same as making a good business decision.

* The other party to the legal action may make counterclaims or other legal claims against you.

* On top of paying your legal costs, you may be required to pay some (or all) of the legal costs of the other party or parties if you are wholly (or partially) unsuccessful.

* The outcome you obtain may not be as advantageous as an offer of settlement previously made to you.

* If you or your staff are required to provide evidence in court, this can be very stressful and time-consuming and distract from the operation of your business

* Court proceedings are usually public, so this option may not be suitable if confidentiality is important.

* You may be required to disclose information in the proceedings to the other party or parties that you may prefer to keep confidential.

* Court proceedings may attract unwanted publicity and potentially damage your reputation - particularly if you are unsuccessful or if your case is seen as unduly litigious.

* It can take a lot of time to prepare a legal claim and for proceedings to be finalised if the claim is not settled by the parties (see 'How much time might be involved?' below).

* You may not be able to bring a legal claim if you have agreed in a contract that you will use, or that you will first try, an alternative form of dispute resolution.",,,"For infringement actions, the owner of the registered trade mark usually starts the infringement action. However, an exclusive licensee or authorised user may also hold the right to start an action.
Other court actions can generally be taken by any aggrieved party with a relevant interest in the matter.",,"Trade mark proceedings are not particularly common in Australia because they can be expensive and time consuming for the parties involved. However, they are more common than some other types of intellectual property disputes like patent proceedings.
In the 2023-24 financial year, there were 77 trade mark filings in the Federal Court of Australia

2
Some trade mark proceedings are also started in State/Territory courts.","here are a wide range of possible outcomes, and these will also depend on the type of court action you might take. Some possible outcomes are:
* You might reach a negotiated settlement with the other party.

* The other party might not respond or participate in the court proceedings, in which case the court might decide in your favour.

* The other party's trade mark registration might be cancelled, removed or amended.

* The court might decide against you, in which case your trade mark registration could be cancelled, removed or amended and you may need to pay some or all of the other party's legal costs.

* You could be awarded damages or compensation.

* A court may, in appropriate situations, make orders to prevent an infringer from continuing to infringe your IP rights - including on a temporary basis while you are waiting for the court to hear your matter (seeSeek an urgent injunction).

* A decision made by IP Australia can be affirmed, reversed or varied.

* Some other outcome depending on what you have claimed (including, for example, if you have made other legal claims forpassing offor under the Australian Consumer Law).
In most cases, the outcome can be appealed to a higher court."
D1013,IP insurance,"* Financial Protection:IP lawsuits can be extremely costly, and insurance can help preserve your financial stability in such events.

* Legal Support:IP insurance providers often have specialised legal networks or resources to help manage and defend claims effectively.

* Investor Confidence:Holding IP insurance can reassure potential investors and partners that risks associated with IP disputes are managed.

* Predictable Costs:While the excess you may need to pay before insurance takes over can be high, it is a known amount which can be planned for.","* Coverage limitations and exclusions:Like all insurance, IP insurance policies can be complex, with narrowly defined terms and exclusions - certain types of IP may not be fully covered. Additionally, insurers typicallydo not cover disputes or infringements that are already known, in progress or on the horizon.

* Insurer control over litigation strategy:When a claim arises, the insurance company may want to settle quickly to minimise costs, even if you would prefer to continue to fight the claim. In some cases, this can lead to a conflict between the insurer's cost-control objectives and your business goals. Additionally, some policies will require you to use the insurer's panel of approved attorneys - which may make it difficult or more costly to use your own preferred IP counsel (if you already have one in mind).",,,"Given that IP insurance is marketed towards IP holders, any party holding or in the process of attaining IP can make use of IP insurance, although most commercial insurance products are directed towards trade marks or patents.",,"As the visibility of IP insurance is fairly low, it is difficult to estimate how widely it is used, although popularity has fluctuated in the past.
Additionally, insurance products have often been expensive, meaning the costs and limitations of specific insurance products often act as a barrier to those considering it.","There can be both positive and negative outcomes from IP insurance.
Positives:
* Financial protectionin IP disputes, covering costly legal fees and potential damages or settlements.

* Improved enforcementof your intellectual property, as insurance may help fund actions against infringers.

* Deterrent effect- the knowledge that you're insured may discourage potential infringers.

* Enforcement coveragefor both asserting your rights and defending against claims.

* Credibility boost, offering reassurance to investors, partners, or stakeholders.

* Stronger negotiating positionwhen resolving disputes.
Negatives:
* High deductibles (excess)may apply before insurance kicks in.

* Premiums may increaseafter making a claim.

* Coverage limitationsdepending on the policy terms - not all types of disputes or jurisdictions may be included.

* Insurer influence- the insurance company might want a say in your legal strategy.

* Risk of declined coverageif the insurer determines the issue isn't covered.

* False sense of security, leading to overreliance and mistaken belief that ""everything is covered."""
101-10,Infringement 101,,,,,,,,
C1014,Apply for a design right,"* Registration creates a dated, searchable public record of ownership.

* Registering a design gives you a period within which infringement may occur.

* Exclusive rights may deter competitors and improve negotiating power.","* Application fees are non-refundable even if the design is later found to be invalid.

* Publication reveals your design to competitors, which may prompt challenges or copying overseas.

* You cannot enforce the right until it is certified, so extra examination fees and time may apply.

* If your claims are unfounded, such as commencing enforcing based on an uncertified design right, alleged infringers may commence legal proceedings for unjustified threats.

* Failing to renew after five years (including the six‑month grace period) will cause the registration to cease and the design enters the public domain.",,,Any individual or business that creates a new and distinctive design.,,"In 2023/2024 financial year, 8,776 designs were registered, and 1,540 designs were certified.","* The design is registered and later certified, giving you enforceable rights.

* The design is registered but never certified, providing a deterrent against its use by others.

* Examination finds the design not new or distinctive and issues are raised. Failure to overcome all the issues in time means the registrationceases.

* A hearing is requested to further rule on the issues.

* The application is withdrawn, amended or allowed to lapse if fees or formalities are not met."
D1003,ASBFEO,"* Guides you through resolving disputes in a way that's designed to suit the needs of small businesses.

* Can address disputes over a wider range of business issues, rather than intellectual property rights in isolation.

* Can help you find a mutually acceptable solution while preserving business relationships.

* Can encourage parties to engage in alternative dispute resolution such as mediation and arbitration which can help resolve disputes in a structured and confidential context while providing more control on the agreed outcomes (as opposed to being mandated by a tribunal or court).","* ASBFEO cannot make a determinative decision. If the parties do not reach a resolution, either party may consider other options, including formal legal options.

* Due to the potential complexities and unpredictability of this process, costs might increase beyond initial estimates.

* Escalation of the dispute could require you to defend your claim to your IP rights.",,,"* Small businesses and family enterprise operators that are in dispute with other businesses or Australian Government agencies.

* ASBFEO can provide assistance to parties who are businesses with fewer than 100 employeesorare businesses with revenue of less than $5 million per year.",,,"* ASBFEO provides information to help you decide on what to do next.

* You proceed with an informal solution like a letter of demand.

* ASBFEO contacts the other party to encourage disputing parties to resolve their dispute, with a focus on maintaining relationships.

* ASBFEO refers you other services that can better assist with your particular situation.

* You proceed with alternative dispute resolution services such as conferencing, mediation, or conciliation.

* You decide not to pursue resolution of the dispute.

Resolution of cases through engagement and alternative dispute resolution is around 80% 

-

 in whole or part through these methods. In a specific dispute, the likelihood of resolution may depend on a wide range of factors such as:
* The goodwill between the parties

* Whether the parties would benefit from continuing their relationship

* The potential to bring a legal action should informal methods fail

* The freedom and ability to negotiate an outcome."
B1021,Design certification ,"* Offers a cost-effective challenge to a competitor's design without starting court proceedings.

* Accessible to any person via online or postal application.

* May remove or narrow the owner's monopoly, opening market opportunities.

* Quick administrative procedure handled online through IP Australia.","* Certification may strengthen the owner's exclusive rights and enforcement options.

* Alerting the owner to your interest could prompt quicker or stronger enforcement action.

* Optional hearings to dispute an adverse report may incur extra fees and delays.",,,"Any person or business, even if they are 

not

 the owner of the design, may request certification.",,"As of 2024, approximately 20% of designs registered with IP Australia were also certified.","* The design is certified, confirming the owner's exclusive rights.

* Note that the owner of the design may choose to make amendment to the design to address objections raised during the examination process. A list of allowable amendments can be found in the relevant section of the Designs Examiners' Manual:22.3. Amendments: Amending a registration | IPA Manuals.

* The registration is revoked, removing design protection.

* Parties settle the dispute commercially or by negotiation before the examination is completed - in these cases the requesting party withdraws their request for certification as part of the resolution."
B1018,eCommerce platform,"* Usually little to no fees. Generally using built-in appeal or report tools is free.

* Listings may be reinstated without going to court.

* Platforms may reduce direct confrontation by contacting the complainant on your behalf.","* Missing the platform's deadline (e.g. 10 business days on Etsy and eBay) may result in permanent removal.

* Giving incomplete or inaccurate details can lead to account penalties or suspension.

* Either party could escalate the issue to a formal dispute.",,,"* Owners or authorised user of Intellectual Property whose IP is being used on an online marketplace.

* People who have received notice that their listing has been taken off an online marketplace because of IP infringement.",,"Most online marketplaces do not publish this information, however IP infringement notices occur regularly.","* Your listing is reinstated after a successful appeal or counter notice.

* Your listing is reinstated after the complaint retracts or the parties resolve the dispute outside the platform.

* Your account could receive warnings or temporary suspension if disputes recur."
D1033,Informal contact,"* Often cost-effective.

* Quick and easy to initiate.

* Possibility of stopping infringing behaviour without the need for additional stepsand the stress of more formal actions.

* Allows you to consider many options to escalate, if suspected infringement continues.

* Other enforcement processes often expect you to take genuine steps to resolve a dispute before escalating.","* Making an unjustified threat that you will start legal action against another person for IP infringement can result in liability for compensation, damages and costs resulting from the threat and in you being ordered to stop making the threat.

* Using unreasonably aggressive or unprofessional tone in the communication with the other party may prompt the other party to escalate and resist, rather than comply.

* Alerting the other party, regardless of the legitimacy of your claim, can expose you counterclaims or actions from the other party, which may escalate the conflict in an unwanted way. This could jeopardise your IP rights.

* For registered rights, it might prompt the other party to challenge the validity or registrability of your IP right in an attempt to undermine your claims.

* In the case of trade marks, the other party may apply for a trade mark as a defensive strategy against your claims, and you may then need to decide if you wish to oppose their application.

* Contacting the suspected infringer might give them time to hide or destroy evidence. This could harm your case in future legal actions. If you are worried about this possibility, you should seek legal advice before communicating with the other party.

* Depending on what you say to the other party, or what you might agree with them, this could impact your ability to take other enforcement action in future. It is usually prudent to tell the other party that any informal communications are on a 'without prejudice' basis and to include this in any written communications with them.",,,Someone who owns IP (or in limited cases authorised user) and can provide evidence of their rights.,,,"Informal communication with the other party can result in a wide range of different outcomes depending on the specific circumstances.
Some possible outcomes are:
* The alleged infringing behaviour stops following the conversation, especially if the other party was simply unaware of existing IP rights.

* The alleged infringer does not change their behaviour, in which case you may have to consider other enforcement options.

* Parties can engage in further communication disputing part or all of your claims.

* The alleged infringer is placed on notice that their conduct may involve infringement, which may assist you to seek monetary compensation if you later commence court action.

* The conflict can further escalate into more serious, formal dispute settlement procedures (for example, sending a letter of demand, litigation, mediation, arbitration, administrative hearings.).

* The other party may not fulfil all the requirements but may be willing to participate in some form of negotiation.

* The other party may commence proceedings challenging the validity of the IP right, or be prompted to take legal action against you (for instance if they are of the opinion that you are infringing on their rights). This could include seeking damages or compensation for unjustified threats."
101-6,Infringement 101,,,,,,,,
D1087,Court - Designs,"* If you succeed, a court can award damages or compensation for losses and costs (including, in some cases, an account of profits made in relation to the infringement).

* Court decisions are binding and enforceable between the parties to the proceedings.

* The other party cannot simply ignore your legal claim without consequences.

* You can often resolve several related matters in one case.

* Court can take into consideration a wide range of legal factors which may fall outside the scope of other decision-making bodies such as IP Australia's Opposition and Hearing processes.

* Court proceedings allow cross-examination of evidence and expert witnesses, which could be helpful for prosecuting your argument if you have a highly technical case.

* The gravity, expense, publicity and protracted nature of court proceedings can encourage the other party to negotiate or engage in other forms of dispute resolution to settle legal claims and avoid the court proceedings continuing.

* For suspected infringement claims, a court can, in appropriate situations, make orders to prevent the other party from continuing to infringe your registered design.","* The outcome can be unpredictable.

* While a court can determine the dispute between the parties, it may not be in the best interests of your business. Proving you are in the right, legally, may not be the same as making a good business decision.

* The other party to the legal action may make counterclaims or other legal claims against you, including challenges to the validity of your design.

* On top of paying your legal costs, you may be required to pay some (or all) of the legal costs of the other party or parties.

* The outcome you obtain may not be as advantageous as an offer of settlement previously made to you. This can have implications for any costs you may incur.

* If you or your staff are required to provide evidence in court, this can be very stressful, time-consuming, and distract from the operation of your business.

* Court proceedings are usually public unless they are covered by a confidentiality order, so this option may not be suitable if confidentiality is important.

* You may be required to disclose information in the proceedings to the other party or parties that you may prefer to keep confidential.

* Court proceedings may attract unwanted publicity and potentially damage your reputation - particularly if you are unsuccessful or if your case is seen as unduly litigious.

* It can take a lot of time to prepare a legal claim and for proceedings to be finalised if the claim is not settled by the parties (see 'How much time might be involved?' below).

* If you intend to commence proceedings against a party that you have a pre-existing contractual agreement with, it may be important to consider whether the agreement covers ways to deal with IP disputes. For example, some agreements may require a party try forms of alternative dispute resolution before they are able to commence proceedings",,,"For infringement actions, the owner of the certified design right usually starts the infringement action. However, an exclusive licensee may also hold the right to start an action. 

Other court actions can generally be taken by any aggrieved party with a relevant interest in the matter.",,There are very few designs related court cases. Most years there are no designs proceedings.,"There are a wide range of possible outcomes, and these will also depend on the type of court action you might take. Some possible outcomes are:
* You might reach a negotiated settlement with the other party.

* The other party might not respond or participate in the court proceedings, in which case the court might decide in your favour.

* The other party's registered design might be cancelled or amended.

* The court might decide against you, in which case your registered design could be cancelled and you may need to pay some or all of the other party's legal costs.

* You could be awarded damages.

* A court may, in appropriate situations, make orders to prevent an infringer from continuing to infringe your design rights - including on a temporary basis while you are waiting for the court to hear your matter.

* A decision made by IP Australia can be affirmed, reversed or varied.

* Some other outcome depending on what you have claimed (including, for example, if you have made other legal claims under the Australian Consumer Law).

* In most cases, the outcome can be appealed to a higher court."
D1003,ASBFEO,"* Guides you through resolving disputes in a way that's designed to suit the needs of small businesses.

* Can address disputes over a wider range of business issues, rather than intellectual property rights in isolation.

* Can help you find a mutually acceptable solution while preserving business relationships.

* Can encourage parties to engage in alternative dispute resolution such as mediation and arbitration which can help resolve disputes in a structured and confidential context while providing more control on the agreed outcomes (as opposed to being mandated by a tribunal or court).","* ASBFEO cannot make a determinative decision. If the parties do not reach a resolution, either party may consider other options, including formal legal options.

* Due to the potential complexities and unpredictability of this process, costs might increase beyond initial estimates.

* Escalation of the dispute could require you to defend your claim to your IP rights.",,,"* Small businesses and family enterprise operators that are in dispute with other businesses or Australian Government agencies.

* ASBFEO can provide assistance to parties who are businesses with fewer than 100 employeesorare businesses with revenue of less than $5 million per year.",,,"* ASBFEO provides information to help you decide on what to do next.

* You proceed with an informal solution like a letter of demand.

* ASBFEO contacts the other party to encourage disputing parties to resolve their dispute, with a focus on maintaining relationships.

* ASBFEO refers you other services that can better assist with your particular situation.

* You proceed with alternative dispute resolution services such as conferencing, mediation, or conciliation.

* You decide not to pursue resolution of the dispute.

Resolution of cases through engagement and alternative dispute resolution is around 80% 

-

 in whole or part through these methods. In a specific dispute, the likelihood of resolution may depend on a wide range of factors such as:
* The goodwill between the parties

* Whether the parties would benefit from continuing their relationship

* The potential to bring a legal action should informal methods fail

* The freedom and ability to negotiate an outcome."
D1004,Domain Name Dispute (auDRP),"* The process can occur even without participation from the other party.

* Fast and accessible process.

* A focus on practical, non-punitive outcomes.

* Fair opportunity for both parties to present their case in writing.

* There is no compensation for loss or damages, meaning this process is less adversarial.","* auDA does not have an appeals process if you are unhappy with the decision of the panel. If you are unsatisfied with the outcome, either party can initiate legal proceedings against the other.

* Decisions made by the auDRP panel are made public. If you are found to have made an unjustified threat it could expose you to public scrutiny, negative publicity or reputational damage.

* Undergoing a formal dispute resolution process may undermine existing or future business relationships with the other party.",,,Anyone with competing legal rights to a .au domain name licence (including the ownership of a relevant trade mark).,,"Of the 48 auDRP cases reviewed in financial year 2023-24, 22 resulted in the transfer of the .au domain name licence to the entity that initiated the review.","Three outcomes are possible following the panel's decision:
* The disputed .au domain name licence/s cancelled, in which case the .au domain name/s will become available for registration by another eligible member of the public.

* The disputed .au domain name licence/s is transferred to the complainant. The complainant must be eligible to hold the .au domain name licence/s, otherwise the transfer cannot proceed.

* The disputed .au domain name licence/s remains with the current domain holder (registrant)."
C1002,Monitor supply chain,"* Provides early warning so you can act before harm occurs to your business.

* Reduces risk of unsafe or non‑compliant items entering the market.

* Provides data and insight into infringement trends and behaviour.

* Can uncover new markets or trends in consumer demands.

* May allow you to build stronger evidence to support enforcement or negotiation actions.","* Poor data quality may trigger false alarms and wasted resources, which may strain your relationship with suppliers.

* Extensive monitoring could raise privacy or confidentiality concerns with business partners.

* Business partners might view extra checks as a sign of distrust affecting goodwill and reputation of your business.",,,Any IP rights holders.,,Supply chain monitoring for mitigating risks associated with IP is commonly used. Conducting regular audits and having visibility over supply chain are often seen as part of best practices to protect one's IP.,"The outcomes of monitoring supply chain depend heavily on your individual circumstances, the tools used, industry practices and your overall IP strategy."
E1011,Using IP,,,,,,,,
B1010,Report criminal activities ,"* Can give you more certainty around whether the threat is genuine or a mere scam.

* Alerts enforcement bodies so they can investigate and warn others.

* May help prevent further contact from scammers.

* Helps protect your business from financial loss or reputational harm.

* Builds a formal record that could support future legal steps.","Dismissing a genuine claim of infringement as a scam or a fraud could result in escalation from the other party, and the delay might be detrimental to you. For more information on how to assess a letter of demand that you have received, see IP First Response's page: 

Receiving a letter of demand.",,,* Any individual or business that has received a suspicious IP-related threat or who suspects they have been targeted by a scam using IP claims.,,"Data specific to IP scams is unavailable, however the ACCC's Scamwatch service noted that in 2024 

they had 249,448 scams reported to them, with reported losses estimated at $318,762.688.
The Annual Cyber Threat Report 2023-2024

 published by the Australian Cyber Security Centre states that they received over 87,400 cybercrime reports were received in FY2023-2024.","* Your report may be logged to help identify scam patterns.

* A public alert may be issued by the body you report to, with your report helping inform these warnings.

* Police or regulators may investigate, potentially leading to charges against the scammer.

* You may receive confirmation and reassurance that the claim appears to be a scam"
E1019,Australian IP overseas,,,,,,,,
