UDID,HowTo_Name,Step_Name,Step_Description
D1087,"How to proceed with Seek binding, authoritative decisions",Evaluate Legal Action Considerations,"Here are some things you might consider before you proceed with legal action in a designs matter. 

Find an IP lawyer for advice and representation

 

Court proceedings can be an expensive, time-consuming, stressful, complicated process that can have a serious impact on you and your business. It is recommended that you seek legal advice before deciding whether to start a legal claim and to assist you if you decide to make one.

Consider your goals before deciding to start a legal claim

 

Going to court is usually a last resort. You should carefully consider what you are seeking to achieve and whether bringing a legal claim is your best option. An IP lawyer can help you to consider your best option to achieve your goals and give you advice on likely outcomes.

Consider the impact of publicity

 

Court proceedings are usually public. You should consider what impact this may have on your business. Unless they're covered by a confidentiality order, evidence and documents used in court will also become available to the public and no longer be confidential.

Gather all your documents

 

Before seeking legal advice, it can be helpful to collect any documents like reports, contracts, licences or correspondence that you think might be relevant to your claim. You can give these to your lawyer to review."
D1003,How to proceed with Access help tailored to resolve business disputes,Review the Assistance Charter,"An understanding of what you can expect when dealing with ASBFEO by reading their 

Assistance Charter."
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Pay the fees,The ability to pay the required fees.
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Understand Schedule A and B of theauDRP,To read and understand the Schedule A and B of theauDRP.
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Include Required Information for Submission,"To have your submission accepted by the resolution provider, it needs to include the information set out in Paragraph 3 of Schedule B in the auDRP as well as any requirements detailed in the Provider's Supplemental Rules (available from the provider's website).
auDRP complaints must satisfy the following criteria for a successful outcome:"
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Verify Ownership Rights,You must own the rights to the trade mark or name.
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Verify Domain Name Similarity,The .au domain name being contested is identical to the trade mark or confusingly similar.
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Verify Domain Name Interest,The .au registrant/domain name holder does not own any rights or have a legitimate interest in the domain name.
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Identify Bad Faith Registration,"The .au registrant has registered and used the domain name in bad faith.
The"
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Initiate auDRP Process,auDRP
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Seek Legal or Professional Advice,"provides guidance on what information can be used to meet these criteria.
Before you take any action, you should consider whether you need legal or professional advice specific to your situation. It is important to know what rights you have, what remedies are open to you, and the cost and likelihood of success. IP Australia provides information on"
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Seek IP Assistance,getting professional assistance with your IP
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Consult IPTA Resources,". In addition, the Institute of Patent and Trade Mark Attorneys Australia (IPTA) offers free"
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Schedule Consultation,30 minute consultations with an attorney
D1004,How to proceed with Dispute a domain name that infringes your trade mark,End the process,.
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Seek Legal Advice,Copyright owners who work in creative industries may potentially be eligible to seek low- or no-cost legal advice from the
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Consult Arts Law Centre,Arts Law Centre of Australia
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Seek Free Advice,or no-cost advice from the
D1004,How to proceed with Dispute a domain name that infringes your trade mark,Consult the Australian Copyright Council,Australian Copyright Council
D1004,How to proceed with Dispute a domain name that infringes your trade mark,End the process,.
C1002,How to proceed with Detect and discourage potential infringement in your supply chain,Gather Monitoring Materials,"The materials needed for supply chain monitoring would vary depending on the extent of monitoring activities and the methods you choose to adopt. Below is a list of some common data, evidence and materials used to monitor supply chain."
C1002,How to proceed with Detect and discourage potential infringement in your supply chain,Create IP Inventory,A clear inventory of your registered IP rights and key products.
C1002,How to proceed with Detect and discourage potential infringement in your supply chain,Update records,Up‑to‑date supplier and shipment records.
C1002,How to proceed with Detect and discourage potential infringement in your supply chain,Update Contact Details,Up-to-date contact details for all supply chain partners.
C1002,How to proceed with Detect and discourage potential infringement in your supply chain,Draft Supply Agreements,Written supply agreements specifying IP use permissions and audit rights.
C1002,How to proceed with Detect and discourage potential infringement in your supply chain,Flag Unusual Orders,Procedures for staff to flag unusual orders or routes.
C1002,How to proceed with Detect and discourage potential infringement in your supply chain,Implement Monitoring Tools,"Monitoring tools such as order checks, sampling protocols, web alerts, tracking codes, barcodes, serial numbers or analytics dashboards."
C1002,How to proceed with Detect and discourage potential infringement in your supply chain,Store Evidence Securely,"Secure system for storing evidence (photos, screenshots, audit reports)."
B1010,"How to proceed with Report a scam, fraud or risk to public interest",Report Fraudulent IP Claims,"If you believe that the other party is fraudulently claiming that you have infringed their IP, you could consider making a report to an appropriate authority.
Scamwatch
The ACCC collects scam reports to detect patterns and issue public alerts through its Scamwatch service.
If your IP is being used as part of a scam or fraudulent activity (for example through email phishing activity), or if you have been the victim of a scam related to someone else's IP rights, you can report this activity to 

Scamwatch

, using their 

Report a Scam page

.
The Australian Signals Directorate's Australian Cyber Security Centre (ASD's ACSC)
Scams or fraudulent activities often take the form of cybercrimes

, using a computer or online network to target victims.
ReportCyber is the Australian Government's cybercrime reporting tool. They assess all cybercrime reports and assign the relevant ones to police and other law enforcement agencies for investigation. If you believe that the other party is using IP as part of fraudulent activity or criminal threats through digital channels such as emails, text messages, phone calls or social media, you can consider reporting this activity to Reportcyber using their

Report page

.
IP Australia
IP Australia accepts reports of suspected misuse of its name or processes. You can read more about these on IP Australia's website at 

Scams related to managing IP Rights | IP Australia.

 You can also learn how to report these at 

How to report fraud and corruption | IP Australia.
Federal and state police agencies
The AFP and state or territory police investigate fraud, impersonation, and criminal extortion.
If you believe that the other party is involved in a serious cybercrime or a criminal fraud, you may also consider directly alerting the Australian Federal Police (AFP) or your State and Territory Police."
B1015,"How to proceed with Assert your rights, as a response to an accusation  ",Consult IP Resources and Legal Advice,"The steps you may need to take will largely depend on the exact nature of the infringement issue. For more information, please utilise IP First Response to find additional information about options that might be available to you. You may also wish to speak to an IP lawyer or IP attorney (for more information, please see 

Obtain legal advice on your situation | IP Australia First Response

) to provide advice specific to your situation."
B1015,"How to proceed with Assert your rights, as a response to an accusation  ",Submit infringement response,Navigator Tool - Suspected Infringement | IP Australia First Response
B1015,"How to proceed with Assert your rights, as a response to an accusation  ",Locate an IP Attorney,Find an IP attorney or firm | Trans-Tasman IP Attorneys Board
B1015,"How to proceed with Assert your rights, as a response to an accusation  ",Report unauthorized IP use,Someone is using my IP | IP Australia
B1015,"How to proceed with Assert your rights, as a response to an accusation  ",Evaluate Legal Action Factors,What to consider before taking legal action | IP Australia
B1017,How to proceed with Request IP Australia confirms a registered design is valid,Enter registered design number,Registered design number.
B1017,How to proceed with Request IP Australia confirms a registered design is valid,Pay the fee,Ability to pay the examination fee.
B1017,How to proceed with Request IP Australia confirms a registered design is valid,Respond to Examination Report,Be prepared to respond to an examination report which may require providing additional evidence or submissions to address any issues raised.
B1017,How to proceed with Request IP Australia confirms a registered design is valid,Consult an IP Lawyer,Consider whether to get help from an IP lawyer or IP attorney.
B1017,How to proceed with Request IP Australia confirms a registered design is valid,Retain documentation,Keep copies of all correspondence and the certificate of examination.
D1028,How to proceed with Agree to a formal commercial arrangement,Verify and Evaluate Claims,It's important to get all the factual details right and evaluate the merits of your claims before you reach out to the other party. Here are some things you might want to check and consider before talking to the other party:
D1028,How to proceed with Agree to a formal commercial arrangement,Verify IP Status and Registrations,"The status and details of the relevant IP in the jurisdiction where the alleged infringement/dispute occurred. This includes checking the status of your IP registrations, and whether the alleged infringer has registered IP rights with IP Australia or overseas IP offices."
D1028,How to proceed with Agree to a formal commercial arrangement,Avoid Baseless Accusations,Ensuring your claims do not amount to baseless accusations which would be seen as unjustified threats.
D1028,How to proceed with Agree to a formal commercial arrangement,Verify Other Party's Identity and Contact Details,"The identity and contact details of the other party - it's important to make sure you speak to the correct party.
Throughout the negotiation with the other party, it can be helpful to remember to:"
D1028,How to proceed with Agree to a formal commercial arrangement,Maintain Composure and Professionalism,"Make sure you stay calm and professional throughout the conversation, avoiding emotional, accusatory language."
D1028,How to proceed with Agree to a formal commercial arrangement,Prioritize Issues Over Personalities,"Focus on the issues at hand, not the personalities of the other parties involved."
D1028,How to proceed with Agree to a formal commercial arrangement,Recognize Misunderstandings,"Acknowledge that problems are often caused by misunderstanding or oversight, and that a mutually beneficial outcome can often be reached."
D1028,How to proceed with Agree to a formal commercial arrangement,Document and Validate Agreement,"Be clear on the terms of agreement you reached with the other party, writing down the agreement in detail at the end of the conversation and making sure you enter into a legally binding agreement that reflects the negotiated outcome. An IP lawyer can assist you with negotiations or recording the outcomes in a legally binding agreement.
It can be difficult to determine whether negotiations are a suitable option. An IP professional can help you make this assessment and advise what steps would work best in your situation."
Dxxxx,How to proceed with ProvideOpportunityStopInfringement,Evaluate IP Infringement Claims,"Understanding what constitutes IP infringement, and possible consequences of contacting a suspected infringer, can help you decide if this is the right option for you.
It's important to get all the factual details correct and evaluate the merits of your claims before you reach out to the other party. 

Making unjustified claims of IP infringement can have serious consequences. If you are found to have made an unjustified threat, you might be liable to pay damages or compensate the other party or you may be ordered to stop making the threat.
For more information about how someone can take action against unjustified threats through the courts, please review 

Respond to an unjustified threat | IP Australia First Response
Here are some things you might wish to check and consider before talking to the other party you should consider engaging an IP lawyer or IP attorney to work through these issues with you:"
Dxxxx,How to proceed with ProvideOpportunityStopInfringement,Verify IP Status and Registrations,"The status and details of the relevant IP in the jurisdiction where suspected infringement occurred. This includes checking the status of your IP registrations, and whether the alleged infringer has registered IP rights with IP Australia or overseas IP offices."
Dxxxx,How to proceed with ProvideOpportunityStopInfringement,Evaluate Infringement and Scope of Protection,"Whether the other party's conduct amounts to infringement, having regard towhat infringement looks like, to avoid making unjustified threats. For registered IP, it's worth considering the 'scope of protection' of your registered claim. For trade marks, this includes the goods or services attached to your registration, and whether the other party is offering similar goods and services. For patents, it includes whether the product or process contains all the essential features of a claim in a granted patent. For designs, the scope of protection would require consideration of not only the visual appearance of the product but the tangible physical product (e.g. a chair, a bottle, etc.) that the design is applied to. Please note:a design right can only be enforced if the right is also certified. For more information please seeRequest certification for your registered design | IP Australia First Response"
Dxxxx,How to proceed with ProvideOpportunityStopInfringement,Identify the Suspected Infringer,"The identity and contact details of the suspected infringer. It's important to make sure you speak to the correct party.
If you are not sure about any of the above, then you might want to speak to an IP professional for help.
Before taking this action, it might also be helpful to consider your goals and potential outcomes, including:"
Dxxxx,How to proceed with ProvideOpportunityStopInfringement,Identify Mutual Benefits,Options for outcomes that would benefit or be agreeable to everyone involved.
Dxxxx,How to proceed with ProvideOpportunityStopInfringement,Assess Willingness for Further Engagement,"Whether you will be prepared to be engaged in further correspondence, negotiation or even disputes with the other party. If you threaten to do something and do not follow through, it could be found to be an unjustified threat."
Dxxxx,How to proceed with ProvideOpportunityStopInfringement,Assess IP Commercialization Strategy,"Your plans to commercialise and promote your IP, and whether making informal contact could undermine (or strengthen) these."
Dxxxx,How to proceed with ProvideOpportunityStopInfringement,Engage Amicably,"Ways you can engage in an amicable, productive conversation with the other party."
D1067,How to proceed with Prevent a patent under examination from being granted,Locate Patent Details,Identify the patent application number and title.
D1067,How to proceed with Prevent a patent under examination from being granted,Research Prior Art,Find examples of prior art that may affect novelty or inventiveness.
D1067,How to proceed with Prevent a patent under examination from being granted,Verify Prior Art Availability,Ensure the prior art meets the criteria of 'publicly available' before the patent's 'priority date'.
D1067,How to proceed with Prevent a patent under examination from being granted,Submit Documentation,Provide documents or reliable links (and translations if not in English).
D1067,How to proceed with Prevent a patent under examination from being granted,Submit through IP Australia's eServices portal,Submit viaIP Australia's eServicesportal (use the general eService request or the specific link in AusPat).
D1067,How to proceed with Prevent a patent under examination from being granted,Record Submission,Keep records of your submission.
C1015,How to proceed with Apply for a patent to protect your invention from being copied ,Describe Your Invention,"A clear description of your invention-what it is, how it works, and how it's different."
C1015,How to proceed with Apply for a patent to protect your invention from being copied ,Choose Application Type,A decision on whether to file a provisional or standard application.
C1015,How to proceed with Apply for a patent to protect your invention from being copied ,Create an IP Australia Account,An account with IP Australia's online services.
C1015,How to proceed with Apply for a patent to protect your invention from being copied ,Allocate fees,Budget to pay application and examination fees.
C1015,How to proceed with Apply for a patent to protect your invention from being copied ,Consult a patent attorney,Optional: get help from a registered patent attorney.
C1015,How to proceed with Apply for a patent to protect your invention from being copied ,Secure Overseas Rights Protection,A plan for international protection if you need overseas rights.
D1038,How to proceed with Notify online marketplaces of infringement on their platform,Check multiple platforms,"If you have detected infringement on an online platform, it is worth checking several platforms (such as all those listed above) to see if infringement is taking place elsewhere.
Different online platforms have different requirements for making IP complaints and takedown requests.
You will usually need:"
D1038,How to proceed with Notify online marketplaces of infringement on their platform,Collect Infringement Evidence,"Evidence such as screenshots, product listings, and any other documentation that clearly demonstrates the infringement. Refer toEvidence you can collect about infringements."
D1038,How to proceed with Notify online marketplaces of infringement on their platform,Verify IP Ownership and Compliance,"Evidence that you are the legitimate owner of the IP. Some platforms require you to have a registered IP right for you to access their brand protection and complaint mechanisms. You may consider applying for a registered IP right to access these procedures and prevent future infringements and protect your ideas, products and branding.
Note that if you do not provide sufficiently accurate information, your takedown application may be rejected and the whole process would be delayed.
For matters involving copyright infringement online, before issuing a takedown notice, copyright owners should check that the user does not have a valid reason to use the material in question (for example a valid license or a 'fair dealing' use permitted as an exception to copyright under the Copyright Act). More information about when using copyright material is allowed is provided on the"
D1038,How to proceed with Notify online marketplaces of infringement on their platform,Address Copyright Infringement,copyrightinfringement page
D1038,How to proceed with Notify online marketplaces of infringement on their platform,End the process,.
C1009,How to proceed with Plan how IP disputes will be handled via contracts ,Identify IP-Related Contracts,A contract (existing or planned) where IP matters may arise.
C1009,How to proceed with Plan how IP disputes will be handled via contracts ,Understand ADR Options,It will be useful to have a basic understanding ofalternative dispute resolution (ADR) options.
C1009,How to proceed with Plan how IP disputes will be handled via contracts ,Contact WIPO for Procedural Advice,The WIPO Center is available to assist with free procedural advice in generating the clauses:arbiter.mail@wipo.int
C1009,How to proceed with Plan how IP disputes will be handled via contracts ,Consult Legal Expert,"Optional: Support from an IP attorney or legal expert, especially for high-value or complex agreements."
C1020,How to proceed with Check your design against existing designs ,Provide Design Visuals,Clear images or representations of your design.
C1020,How to proceed with Check your design against existing designs ,Specify Product Details,Details of the products the design will be applied to.
C1020,How to proceed with Check your design against existing designs ,Access Australian Design Search,Access toAustralian Design Search.
C1020,How to proceed with Check your design against existing designs ,Search Overseas Market Databases,"If you are targeting overseas markets, plan to search relevant overseas databases of the market you wish to enter (for example, World Intellectual Property Organization (WIPO)Global Design Databaseand European Union Intellectual Property Office (EUIPO)DesignView)."
C1020,How to proceed with Check your design against existing designs ,Verify Design Legal Status,"Check the legal status of any relevant designs (registered, certified, expired). Only design rights that have a certificate of examination issued under Section 68 of theDesigns Act 2003can be enforced in court in Australia."
C1020,How to proceed with Check your design against existing designs ,Record Search Results,Dated records of your search results for future reference.
D1021,How to proceed with Remove a trade mark from the register,Verify Trade Mark Dates,Check the relevant dates of the relevant trade mark.
D1021,How to proceed with Remove a trade mark from the register,Consult IP Australia's Trade Mark Guidelines,"In order to understand what factors contribute to the registrability of trade mark applications, refer to IP Australia's webpageWhat Can't Be A Trade Mark? | IP Australia"
D1021,How to proceed with Remove a trade mark from the register,Review Trade Marks Regulations,Consider carefullyPart 62 of theTrade Marks Manual of Practice and Procedureand the relevant sections of theTrade Marks Act 1995
D1021,How to proceed with Remove a trade mark from the register,Document the case for revocation,A detailed and documented case for the revocation.
D1021,How to proceed with Remove a trade mark from the register,Challenge Trade Mark Registration,Understand what's involved should you need toChallenge the registration of a trade mark | IP Australia First Response
D1021,How to proceed with Remove a trade mark from the register,Contact IP Australia,"To get in touch with IP Australia, refer toContact us | IP Australia
Before you take any action, you should consider whether you need legal or professional advice specific to your situation. It is important to know what rights you have, what remedies are open to you, and the cost and likelihood of success. IP Australia provides information on"
D1021,How to proceed with Remove a trade mark from the register,Seek IP Expert Help,getting professional assistance with your IP
D1021,How to proceed with Remove a trade mark from the register,Consult IPTA Resources,". In addition, the Institute of Patent and Trade Mark Attorneys Australia (IPTA) offers free"
D1021,How to proceed with Remove a trade mark from the register,Schedule Consultation,30 minute consultations with an attorney
D1021,How to proceed with Remove a trade mark from the register,Pause,.
B1019,How to proceed with Challenge the registration of a new trade mark to defend your right,Consult IP Australia for Trademark Opposition Details,"Read all the information relating totrade mark oppositionandthe formsrequired in the opposition process on the IP Australia website. You can find more specific, technical information on the trade mark opposition process in the relevant parts ofTrade Marks Manual of Practice and Procedure."
B1019,How to proceed with Challenge the registration of a new trade mark to defend your right,Monitor Trade Mark Conflicts,"Monitor theAustralian Trade Mark Search (ATMS)and spot conflicting trade marks within two months of advertisement. You may consider engaging an IP professional who undertakes trade mark monitoring or watching services if you need assistance in this process. For more information on this, see IP First Response's page on Monitoring Competitors' IP."
B1019,How to proceed with Challenge the registration of a new trade mark to defend your right,Collect Trademark Evidence,"Gather evidence demonstrating your earlier trade mark use, registration or other legal basis."
B1019,How to proceed with Challenge the registration of a new trade mark to defend your right,Submit Opposition Forms Online,Complete and submit online forms: notice of intention to oppose and Statement of Grounds and Particulars.
B1019,How to proceed with Challenge the registration of a new trade mark to defend your right,Allocate Fees Budget,Budget for official and professional fees.
B1019,How to proceed with Challenge the registration of a new trade mark to defend your right,Retain documentation copies,"Keep copies of all filings, correspondence and evidence."
C1005,"How to proceed with CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS",Define Audit Scope and Purpose,Clear scope and purpose for the audit.
C1005,"How to proceed with CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS",Collect necessary documents,"Copies of registrations, applications, licences and confidentiality agreements."
C1005,"How to proceed with CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS",Verify Dates and Deadlines,"Evidence of creation dates, market use and renewal deadlines."
C1005,"How to proceed with CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS",Access Records,"Access to branding, technical and commercial records."
C1005,"How to proceed with CONDUCT IP AUDITS TO SPOT GAPS, REDUCE RISKS AND PLAN NEXT STEPS",Record Findings Securely,"Secure system (like a spreadsheet or software) to record your findings.
You may also consider obtaining tailored advice from an IP professional before acting on results."
B1007,How to proceed with Respond to an opposition filed against your patent,Review Opposition Notice,Carefully read the notice of opposition and the grounds raised against your patent.
B1007,How to proceed with Respond to an opposition filed against your patent,Consult an IP Professional,Consider the assistance of an IP professional - especially if the case is technical or the risk of the patent being revoked is serious.
B1007,How to proceed with Respond to an opposition filed against your patent,Review Patentability Criteria,"Understand the legal criteria for patentability (e.g. novelty, inventiveness) which is being contested in the opposition."
B1007,How to proceed with Respond to an opposition filed against your patent,Collect Supporting Evidence,Gather evidence and examples that support your case.
B1007,How to proceed with Respond to an opposition filed against your patent,Document Communications and Submissions,Keep detailed records of all communication and submissions.
C1013,How to proceed with Monitor the trade mark register and market for competitor activity,Explore ATMS Features,Australian Trade Mark Search(ATMS) andHELPpage to familiarise yourself with how the ATMS search works and various features of the search tool.
C1013,How to proceed with Monitor the trade mark register and market for competitor activity,Provide trade mark details,"Current trade mark details (e.g. registration number, priority date and its registration status)."
C1013,How to proceed with Monitor the trade mark register and market for competitor activity,Assess Brand Proximity Criteria,Criteria for what you will consider as 'too close' to your brand. Check outInfringement 101 | IP Australia First ResponseandTrade mark infringement | IP Australia First Responseto understand the factors that determine trade mark infringement.
C1013,How to proceed with Monitor the trade mark register and market for competitor activity,Develop Conflict Management Strategy,Plan for next steps if you find a conflictDevelop a strategy to manage your IP | IP Australia First Response. You can use IP First Response'snavigator tool for IP rights holders faced with IP infringementfor more information regarding various pathways to address an IP dispute or an infringement.
D1015,How to proceed with Remove a trade mark from the register,Submit Removal/Cessation Application,"The 

application for removal/cessation of protection for non-use

 must be filed in an approved form. Complete 

this form

 when applying to have a registered trade mark removed from the register for non-use. This form is also used when applying for the cessation of protection of a protected international trade mark for non-use.
You can submit the completed form on the 

Manage my IP

 page of the IP Australia website.
Before you take any action, you should consider whether you need legal or professional advice specific to your situation. It is important to know what rights you have, what remedies are open to you, and the cost and likelihood of success. IP Australia provides information on

getting professional assistance with your IP

 . In addition, the Institute of Patent and Trade Mark Attorneys Australia (IPTA) offers free

30 minute consultations with an attorney

 ."
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Prepare Before Meeting,"Do your homework before you meet
Your time is important and an expert's time can be expensive, so it can be useful to prepare before you meet with an IP lawyer or IP attorney. Consider:"
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Understand IP Basics,Learning more about IPand the specific IP type at the centre of the dispute. Having some basic knowledge will help you to better understand the professional's advice and recommendations.
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Research Accuser's Market Activities,"Researching what the person accusing you of IP infringement is doing in the market (including where they might be based and whether they have registered any IP rights) and being ready to share the results. This will help your IP lawyer or IP attorney to provide you with advice.
Finding an IP lawyer or IP attorney
To find an IP lawyer, you can search on your State or Territory's law society website:"
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Identify the Governing Body,The Law Society of NSW
B1004,How to proceed with Obtain legal advice on an accusation of infringment,'Consult the Law Institute',Law Institute Victoria
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Identify the organization,Queensland Law Society
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Identify the Law Society,The Law Society of Western Australia
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Consult the Law Society,The Law Society of South Australia
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Join the Law Society,The Law Society of Tasmania
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Join the Law Society,Law Society Northern Territory
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Search for Registered Attorney,"The Law Society of the ACT
To find a registered Australian trade marks or patent attorney, you can search the"
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Choose an IP Attorney,"Trans-Tasman IP Attorneys Board directory: Find an IP attorney or firm | Trans-Tasman IP Attorneys Board.
Tips for choosing an IP lawyer or IP attorney
Here are some suggestions for choosing an IP lawyer or IP attorney for your IP:"
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Seek Peer Recommendations,Ask for recommendations from other business owners or members of your industry association.
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Inquire About Costs and Duration,Ask how much you'll be charged and how long the service will take.
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Verify IP Lawyer Specialization,Don't assume that all IP lawyers or IP attorneys specialise in the type of IP that you have.
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Assess Trust and Comfort Level,"Try to determine if you can establish a trusting relationship. If you don't feel comfortable sharing relevant information, it could be difficult for an adviser to work in your best interests."
B1004,How to proceed with Obtain legal advice on an accusation of infringment,Consult an IP Lawyer,"If you think you may need to go to court, speak to an IP lawyer rather than an IP attorney."
B1003,How to proceed with Pause use of contested IP until resolution,Identify IP Usage and Cessation Requirements,Look for all the ways the IP might be used in your business and for what would be involved in ceasing use of the IP.
B1003,How to proceed with Pause use of contested IP until resolution,Choose Changes,"Decide what changes to make (remove, redesign or rebrand)."
B1003,How to proceed with Pause use of contested IP until resolution,Contact the IP Owner,"Write to the alleged IP owner to explain what you've done, what you will do and when but note that admitting any fault or liability in your communications would likely assist IP owner's legal position against you."
B1003,How to proceed with Pause use of contested IP until resolution,Document Changes,"Keep clear records showing when you made changes (screenshots, shipping logs, letters)."
